id,sentence,graph,variable_name,predicate,broad_aspect,specific_aspect,notes
"pear_story.11
"," and he'd drop them into his thing
","(s11d / drop-01
  :ARG0 (s11p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s11t / thing
          :refer-number plural)
  :ARG4 (s11t2 / thing
          :refer-number singular
          :possessor s11p)
  :aspect blank)
",s11d,drop.01,habitual,,
"pear_story.12
"," but I don't . . he's wearing like an apron with huge pockets .
","(s12w / wear-01
        :ARG0 (s12p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s12t / thing
                :refer-number singular
                :ARG1-of (s12r / resemble-91
                        :ARG2 (s12a / apron))
                :part (s12p2 / pocket
                        :refer-number plural
                        :ARG1-of (s12h / huge-01)))
        :aspect blank)
",s12w,wear.01,state,,
"pear_story.13
"," But I don't think you see the apron at first .
","(s13h / have-concession-91
        :ARG1 (s13e / event)
        :ARG2 (s13t / think-01
                :ARG0 (s13p / person
                        :refer-person 1st
                        :refer-number singular)
                :ARG1 (s13s / see-01
                        :ARG0 (s13p2 / person
                                :refer-person 2nd
                                :refer-definiteness generic)
                        :ARG1 (s13a / apron
                                :refer-number singular)
                        :temporal (s13a2 / at-first)
                        :polarity -
                        :aspect state
                        :modal-predicate s13t))
                :aspect blank)
",s13t,think.01,state,,
"pear_story.13
"," But I don't think you see the apron at first .
","(s13h / have-concession-91
        :ARG1 (s13e / event)
        :ARG2 (s13t / think-01
                :ARG0 (s13p / person
                        :refer-person 1st
                        :refer-number singular)
                :ARG1 (s13s / see-01
                        :ARG0 (s13p2 / person
                                :refer-person 2nd
                                :refer-definiteness generic)
                        :ARG1 (s13a / apron
                                :refer-number singular)
                        :temporal (s13a2 / at-first)
                        :polarity -
                        :aspect state
                        :modal-predicate s13t))
                :aspect blank)
",s13s,see.01,state,,
"pear_story.14
"," I don't know if that's important or not .
","(s14k / know-01
        :polarity -
        :ARG0 (s14p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s14t2 / truth-value
                :polarity-of (s14i / important-01
                        :ARG1 (s14t / thing
                                :mod (s14t2 / that)
                                :refer-number singular)
                        :aspect state
                        :modal-predicate s14k))
        :aspect blank)
",s14k,know.01,state,,
"pear_story.14
"," I don't know if that's important or not .
","(s14k / know-01
        :polarity -
        :ARG0 (s14p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s14t2 / truth-value
                :polarity-of (s14i / important-01
                        :ARG1 (s14t / thing
                                :mod (s14t2 / that)
                                :refer-number singular)
                        :aspect state
                        :modal-predicate s14k))
        :aspect blank)
",s14i,important.01,state,,
"pear_story.15
"," A-nd u-h and then he gets down out of the tree ,
","(s15g / get-05
  :ARG1 (s15p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG2 (s15d / down-03)
  :source (s15t / tree
          :refer-number singular)
  :temporal (s15t2 / then)
  :aspect blank)
",s15g,get.05,performance,,
"pear_story.16
"," and he dumps all his pears into the basket
","(s16d / dump-01
  :ARG0 (s16p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s16p2 / pear
          :quant (s16a / all)
          :possessor s16p)
  :goal (s16b / basket
          :refer-number singular)
  :aspect blank)
",s16d,dump.01,performance,,
"pear_story.17
"," and the basket's full ,
","(s17f / full-09
  :ARG1 (s17b / basket
          :refer-number singular)
  :ARG2 (s17t / thing)
  :aspect blank)
",s17f,full.09,state,,
"pear_story.18
"," and one of the pears drops down to the floor ,
","(s18d / drop-01
  :ARG1 (s18p / pear
          :quant 1
          :ARG2-of (s18i / include-91
                     :ARG1 (s18p2 / pear
                             :refer-number plural)))
  :ARG4 (s18f / floor
          :refer-number singular)
  :direction (s18d2 / down-03)
  :aspect blank)
",s18d,drop.01,performance,,
"pear_story.19
"," and he picks it up ,
","(s19p / pick-up-04
  :ARG0 (s19p2 / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s19t / thing
          :refer-person 3rd
          :refer-number singular)
  :aspect blank)
",s19p,pick-up.04,performance,,
"pear_story.20
"," and he takes his kerchief off ,
","(s20t / take-off-07
  :ARG0 (s20p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s20k / kerchief
          :possessor s20p
          :refer-number singular)
  :aspect blank)
",s20t,take-off.07,performance,,
"pear_story.21
"," and he wipes it off ,
","(s21w / wipe-off-03
  :ARG0 (s21p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s21t / thing
          :refer-person 3rd
          :refer-number singular)
  :instrument (s21t2 / thing)
  :aspect blank)
",s21w,wipe-off.03,endeavor,,
"pear_story.22
"," and places it in in the basket which is very full .
","(s22p / place-01
  :ARG0 (s22p2 / person)
  :ARG1 (s22t / thing
	  :refer-person 3rd
          :refer-number singular)
  :ARG2 (s22b / basket
          :refer-number singular
          :ARG1-of (s22f / full-09
		  :ARG2 (s22t2 / thing)
                  :degree intensifier)
                  :aspect blank)
  :aspect blank)
",s22p,place.01,performance,,
"pear_story.22
"," and places it in in the basket which is very full .
","(s22p / place-01
  :ARG0 (s22p2 / person)
  :ARG1 (s22t / thing
	  :refer-person 3rd
          :refer-number singular)
  :ARG2 (s22b / basket
          :refer-number singular
          :ARG1-of (s22f / full-09
		  :ARG2 (s22t2 / thing)
                  :degree intensifier)
                  :aspect blank)
  :aspect blank)
",s22f,full.09,state,,
"pear_story.23
"," That's why it fell off in the first place .
","(s23h / have-reason-91
  :ARG1 (s23f / fall-01
          :ARG1 (s23t / thing
		  :refer-person 3rd
                  :refer-number singular)
          :direction (s23o / off-07)
          :aspect blank)
  :ARG2 (s23e / event
	  :mod (s23t2 / that))
  :mod (s23i2 / in-the-first-place)
  :aspect blank)
",s23h,have-reason.91,state,,
"pear_story.23
"," That's why it fell off in the first place .
","(s23h / have-reason-91
  :ARG1 (s23f / fall-01
          :ARG1 (s23t / thing
		  :refer-person 3rd
                  :refer-number singular)
          :direction (s23o / off-07)
          :aspect blank)
  :ARG2 (s23e / event
	  :mod (s23t2 / that))
  :mod (s23i2 / in-the-first-place)
  :aspect blank)
",s23f,fall.01,performance,,
"pear_story.24
"," A--nd u--m then he climbs back up the ladder ,
","(s24c / climb-01
        :ARG0 (s24p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s24l / ladder
                :refer-number singular)
        :temporal (s24t / then)
        :result (s24b / back-17
                :ARG1 s24p
                :ARG2 (s24u / up-03
                        :ARG1 s24p
                        :ARG2 s24l))
        :aspect blank)
",s24c,climb.01,performance,,
"pear_story.25
"," and he and he . . starts picking pears again .
","(s25s / start-01
  :ARG0 s25p2
  :ARG1 (s25p / pick-01
  	  :ARG0 (s25p2 / person
          	  :refer-person 3rd
          	  :refer-number singular)
  	  :ARG1 (s25p3 / pear
          	  :refer-number plural)
  	  :mod (s25a / again)
  	  :aspect blank)
  :aspect blank)
",s25s,start.01,performance,,
"pear_story.25
"," and he and he . . starts picking pears again .
","(s25s / start-01
  :ARG0 s25p2
  :ARG1 (s25p / pick-01
  	  :ARG0 (s25p2 / person
          	  :refer-person 3rd
          	  :refer-number singular)
  	  :ARG1 (s25p3 / pear
          	  :refer-number plural)
  	  :mod (s25a / again)
  	  :aspect blank)
  :aspect blank)
",s25p,pick.01,activity,,
"pear_story.26
"," And then while he's up in the ladder,
","(s26h / have-temporal-91
  :ARG1 (s26e / event)
  :ARG2 (s26h2 / have-place-91
  	:ARG1 (s26p / person
        	:refer-person 3rd
        	:refer-number singular)
  	:ARG2 (s26p2 / place
                :ARG1-of (s26u / up-03
                        :ARG2 (s26l / ladder
                                :refer-number singular)))
        :aspect blank))
",s26h,have-temporal.91,state,,
"pear_story.27
"," let's see is it while he's up in the ladder ?
","(s27s / see-01
        :mode imperative
        :ARG0 (s27p / person
                :refer-person 1st
                :refer-number plural)
        :ARG1 (s27h / have-temporal-91
                :ARG1 (s27e / event)
                :ARG2 (s27u / umr-choice
                        :op1 (s27u2 / up-03
                                :ARG1 (s27p2 / person
                                        :refer-person 3rd
                                        :refer-number singular)
                                :ARG2 (s27l / ladder
                                        :refer-number singular)
                                :aspect blank)
                        :op2 (s27e2 / event))
                :aspect blank)
        :aspect blank)
",s27s,see.01,state,,
"pear_story.27
"," let's see is it while he's up in the ladder ?
","(s27s / see-01
        :mode imperative
        :ARG0 (s27p / person
                :refer-person 1st
                :refer-number plural)
        :ARG1 (s27h / have-temporal-91
                :ARG1 (s27e / event)
                :ARG2 (s27u / umr-choice
                        :op1 (s27u2 / up-03
                                :ARG1 (s27p2 / person
                                        :refer-person 3rd
                                        :refer-number singular)
                                :ARG2 (s27l / ladder
                                        :refer-number singular)
                                :aspect blank)
                        :op2 (s27e2 / event))
                :aspect blank)
        :aspect blank)
",s27h,have-temporal.91,state,,
"pear_story.27
"," let's see is it while he's up in the ladder ?
","(s27s / see-01
        :mode imperative
        :ARG0 (s27p / person
                :refer-person 1st
                :refer-number plural)
        :ARG1 (s27h / have-temporal-91
                :ARG1 (s27e / event)
                :ARG2 (s27u / umr-choice
                        :op1 (s27u2 / up-03
                                :ARG1 (s27p2 / person
                                        :refer-person 3rd
                                        :refer-number singular)
                                :ARG2 (s27l / ladder
                                        :refer-number singular)
                                :aspect blank)
                        :op2 (s27e2 / event))
                :aspect blank)
        :aspect blank)
",s27u2,up.03,state,,
"pear_story.30
"," a guy comes by leading a goat .
","(s30c / come-01
  :ARG1 (s30g / guy
          :refer-number singular)
  :path (s30b / by)
  :manner (s30l / lead-01
              :ARG0 s30g
              :ARG1 (s30g2 / goat
                      :refer-number singular)
              :aspect blank)
  :aspect blank)
",s30c,come.01,endeavor,,
"pear_story.30
"," a guy comes by leading a goat .
","(s30c / come-01
  :ARG1 (s30g / guy
          :refer-number singular)
  :path (s30b / by)
  :manner (s30l / lead-01
              :ARG0 s30g
              :ARG1 (s30g2 / goat
                      :refer-number singular)
              :aspect blank)
  :aspect blank)
",s30l,lead.01,activity,,
"pear_story.31
"," And the goat's aaarrr but . . and they don't talk to each other ,
","(s31c / contrast-91
        :ARG1 (s31s / say-91
                :ARG0 (s31g / goat
                        :refer-number singular)
                :ARG1 (s31a / aaarrr
                        :quote s31s)
                :aspect blank)
        :ARG2 (s31t / talk-01
                :polarity -
                :ARG0 (s31p / person
                        :refer-person 3rd
                        :refer-number plural)
                :ARG2 s31p
                :aspect blank))
",s31s,say.91,performance,,
"pear_story.31
"," And the goat's aaarrr but . . and they don't talk to each other ,
","(s31c / contrast-91
        :ARG1 (s31s / say-91
                :ARG0 (s31g / goat
                        :refer-number singular)
                :ARG1 (s31a / aaarrr
                        :quote s31s)
                :aspect blank)
        :ARG2 (s31t / talk-01
                :polarity -
                :ARG0 (s31p / person
                        :refer-person 3rd
                        :refer-number plural)
                :ARG2 s31p
                :aspect blank))
",s41t,talk.01,activity,,
"pear_story.32
"," they don't e . . I don't think they even look at each other ,
","(s32t / think-01
  :ARG0 (s32p3 / person
	  :refer-person 1st
	  :refer-number singular)
  :ARG1 (s32l / look-01
	  :polarity -
	  :ARG0 (s32p / person
                :refer-person 3rd
                :refer-number plural)
	  :ARG1 s32p
	  :mod (s32e / even)
	  :aspect performance
	  :modal-predicate s32t)
  :aspect blank)
",s32t,think.01,state,,
"pear_story.32
"," they don't e . . I don't think they even look at each other ,
","(s32t / think-01
  :ARG0 (s32p3 / person
	  :refer-person 1st
	  :refer-number singular)
  :ARG1 (s32l / look-01
	  :polarity -
	  :ARG0 (s32p / person
                :refer-person 3rd
                :refer-number plural)
	  :ARG1 s32p
	  :mod (s32e / even)
	  :aspect performance
	  :modal-predicate s32t)
  :aspect blank)
",s32l,look.01,performance,,
"pear_story.33
"," and . . the guy . . walks by .
","(s33w / walk-01
  :ARG0 (s33g / guy
          :refer-number singular)
  :ARG2 (s33b / by)
  :aspect blank)
",s33w,walk.01,endeavor,,
"pear_story.34
"," And you watch the goat ,
","(s34w / watch-01
  :ARG0 (s34p / person
          :refer-person 2nd
          :refer-definiteness generic)
  :ARG1 (s34e / event
          :undergoer (s34g / goat
                  :refer-number singular))
  :aspect blank)
",s34w,watch.01,state,,
"pear_story.35
"," disappearing all the way ,
","(s35d / disappear-01
  :ARG1 (s35a / animal)
  :extent (s35a2 / all-the-way)
  :aspect blank)
",s35d,disappear.01,performance,,
"pear_story.36
"," ? and then then you're back to the man in the tree .
","(s36b / back-17
        :ARG1 (s36p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG2 (s36h / have-experience-91
                :ARG1 s36p
                :ARG2 (s36m / man
                        :place (s36t / tree
                                :refer-number singular)))
        :temporal (s36t2 / then)
        :aspect blank)
",s36b,back.17,state,,
"pear_story.37
"," And he's up there in the tree .
","(s37h / have-place-91
  :ARG1 (s37p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG2 (s37t2 / there
	  :ARG1-of (s37u / up-03
        	  :ARG2 (s37t / tree
                	  :refer-number singular)))
  :aspect blank)
",s37h,have-place.91,state,,
"pear_story.38
"," And then definitely when he's up there ,
","(s38h2 / have-temporal-91
	:ARG1 (s38e / event)
	:ARG2 (s38u / up-03
                :ARG1 (s38p / person
                      :refer-person 3rd
                      :refer-number singular)
                :ARG2 (s38t / there)
                :aspect blank)
        :ARG1-of (s38d / definite-01))
",s38u,up.03,state,,
"pear_story.39
"," . . a kid comes by on a bicycle .
","(s39c / come-01
        :ARG1 (s39k / kid
                :refer-number singular)
        :ARG3 (s39p / place)
        :ARG4 (s39b / by)
        :instrument (s39b2 / bicycle
                :refer-number singular)
        :aspect blank)
",s39c,come.01,endeavor,,
"pear_story.40
"," From the direction where the goat man left ,
","(s40h / have-source-91
        :ARG1 (s40e / event)
        :ARG2 (s40d / direction
                :ARG2-of (s40l / leave-11
                        :ARG0 (s40m / man
                                :possessor-of (s40g / goat
                                        :refer-number singular))
                        :aspect blank)))
",s40l,leave.11,performance,,
"pear_story.42
"," A--nd . . u--m the bicycle's way too big for the kid .
","(s42h / have-degree-92
        :ARG1 (s42b / bicycle
                :refer-number singular)
        :ARG2 (s42b2 / big-01)
        :ARG3 (s42t / too
                :degree intensifier)
        :ARG4 (s42k / kid
                :refer-number singular)
        :aspect blank)
",s42h,have-degree.92,state,,
"pear_story.43
"," I'm giving you all these details .
","(s43g / give-01
  :ARG0 (s43p / person
          :refer-person 1st
          :refer-number singular)
        :ARG1 (s43d / detail
                :quant (s43a / all)
                :mod (s43t / this)
                :refer-number plural)
        :ARG2 (s43p2 / person
                :refer-person 2nd
                :refer-number singular)
        :aspect blank)
",s43g,give.01,activity,,
"pear_story.44
"," I don't know if you want them.
","(s44k / know-01
        :ARG0 (s44p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s44t / truth-value 
                :polarity-of (s44w / want-01
                        :ARG0 (s44p2 / person
                                :refer-person 2nd
                                :refer-number singular)
                        :ARG1 (s44t2 / thing
                                :refer-person 3rd
                                :refer-number plural)
                        :aspect blank))
  :polarity -
  :aspect blank)
",s44k,know.01,state,,
"pear_story.44
"," I don't know if you want them.
","(s44k / know-01
        :ARG0 (s44p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s44t / truth-value 
                :polarity-of (s44w / want-01
                        :ARG0 (s44p2 / person
                                :refer-person 2nd
                                :refer-number singular)
                        :ARG1 (s44t2 / thing
                                :refer-person 3rd
                                :refer-number plural)
                        :aspect blank))
  :polarity -
  :aspect blank)
",s44w,want.01,state,,
"pear_story.45
"," U—m the . . the reason I'm giving you the details is cause I don't know what the point of the movie was.
","(s45h / have-reason-91
        :ARG1 (s45g / give-01
                :ARG0 (s45p / person
                        :refer-person 1st
                        :refer-number singular)
                :ARG1 (s45d / detail
                        :refer-number plural)
                :ARG2 (s45p2 / person
                        :refer-person 2nd
                        :refer-number singular)
                :aspect blank)
        :ARG2 (s45k / know-01
                :ARG0 s45p
                :ARG1 (s45p3 / point-03
                        :ARG1 (s45m / movie
                                :refer-number singular)
                        :aspect blank)
                :polarity -
                :aspect blank))
",s45g,give.01,activity,,
"pear_story.45
"," U—m the . . the reason I'm giving you the details is cause I don't know what the point of the movie was.
","(s45h / have-reason-91
        :ARG1 (s45g / give-01
                :ARG0 (s45p / person
                        :refer-person 1st
                        :refer-number singular)
                :ARG1 (s45d / detail
                        :refer-number plural)
                :ARG2 (s45p2 / person
                        :refer-person 2nd
                        :refer-number singular)
                :aspect blank)
        :ARG2 (s45k / know-01
                :ARG0 s45p
                :ARG1 (s45p3 / point-03
                        :ARG1 (s45m / movie
                                :refer-number singular)
                        :aspect blank)
                :polarity -
                :aspect blank))
",s45k,know.01,state,,
"pear_story.45
"," U—m the . . the reason I'm giving you the details is cause I don't know what the point of the movie was.
","(s45h / have-reason-91
        :ARG1 (s45g / give-01
                :ARG0 (s45p / person
                        :refer-person 1st
                        :refer-number singular)
                :ARG1 (s45d / detail
                        :refer-number plural)
                :ARG2 (s45p2 / person
                        :refer-person 2nd
                        :refer-number singular)
                :aspect blank)
        :ARG2 (s45k / know-01
                :ARG0 s45p
                :ARG1 (s45p3 / point-03
                        :ARG1 (s45m / movie
                                :refer-number singular)
                        :aspect blank)
                :polarity -
                :aspect blank))
",s45p3,point.03,state,,
"pear_story.47
"," So maybe you can see {laugh begins} something that {laugh ends} I didn't.
","(s47s / see-01
        :ARG0 (s47p / person
                :refer-person 2nd
                :refer-number singular)
        :ARG1 (s47t / thing
                :refer-person 3rd
                :refer-number singular
                :mod (s47s3 / some)
                :ARG1-of (s47s2 / see-01
                        :ARG0 (s47p2 / person
                                :refer-person 1st
                                :refer-number singular)
                        :polarity -
                        :aspect blank))
  :aspect blank)
",s47s,see.01,state,,
"pear_story.47
"," So maybe you can see {laugh begins} something that {laugh ends} I didn't.
","(s47s / see-01
        :ARG0 (s47p / person
                :refer-person 2nd
                :refer-number singular)
        :ARG1 (s47t / thing
                :refer-person 3rd
                :refer-number singular
                :mod (s47s3 / some)
                :ARG1-of (s47s2 / see-01
                        :ARG0 (s47p2 / person
                                :refer-person 1st
                                :refer-number singular)
                        :polarity -
                        :aspect blank))
  :aspect blank)
",s47s2,see.01,state,,
"pear_story.49
"," U--m g a kid comes by on a bicycle ,
","(s49c / come-01
        :ARG1 (s49k / kid
                :refer-number singular)
        :ARG4 (s49b / by)
        :instrument (s49b2 / bicycle
                :refer-number singular)
        :aspect blank)
",s49c,come.01,endeavor,,
"pear_story.50
"," . . he stops ,
","(s50s / stop-01
        :ARG1 (s50p / person
                :refer-person 3rd
                :refer-number singular)
        :aspect blank)
",s50s,stop.01,performance,,
"pear_story.51
"," he gets off his bike ,
","(s51g / get-05
        :ARG1 (s51p / person
                :refer-person 3rd
                :refer-number singular)
        :source (s51b / bike
                :possessor s51p
                :refer-number singular)
        :direction (s51o / off-07)
        :aspect blank)
",s51g,get.05,performance,,
"pear_story.52
"," u--m the movie was in color .
","(s52h / have-medium-91
        :ARG1 (s52m2 / movie
                :refer-number singular)
        :ARG2 (s52c2 / color)
        :aspect blank)
",s52h,have-medium.91,state,,
"pear_story.53
"," And the movie had sound track .
","(s53h / have-part-91
        :ARG1 (s53m / movie
                :refer-number singular)
        :ARG2 (s53s / sound-track
                :refer-number singular)
        :aspect blank)
",s53h,have-part.91,state,,
"pear_story.54
"," It's important .
","(s54i2 / important-01
        :ARG1 (s54e / event
                :refer-person 3rd
                :refer-number singular)
        :aspect blank)
",s54i2,important.01,state,,
"pear_story.55
"," And then the mo the whole movie started with a a cock crowing.
","(s55s / start-01
        :ARG1 (s55m / movie
                :refer-number singular
                :extent (s55w / whole))
        :ARG2 (s55c / crow-01
                :ARG0 (s55c2 / cock
                        :refer-number singular)
                :aspect blank)
        :temporal (s55t / then)
        :aspect blank)
",s55c,crow.01,activity,,
"pear_story.55
"," And then the mo the whole movie started with a a cock crowing.
","(s55s / start-01
        :ARG1 (s55m / movie
                :refer-number singular
                :extent (s55w / whole))
        :ARG2 (s55c / crow-01
                :ARG0 (s55c2 / cock
                        :refer-number singular)
                :aspect blank)
        :temporal (s55t / then)
        :aspect blank)
",s55s,start.01,performance,,
"pear_story.56
"," And then you see /?/ .
","(s56s / see-01
        :ARG0 (s56p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :temporal (s56t / then)
        :aspect blank)
",s56s,see.01,state,,
"pear_story.58
"," I just remembered that .
","(s58r / remember-01
        :ARG0 (s58p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s58e / event
                :mod (s58t / that))
        :temporal (s58j / just)
        :aspect blank)
",s58r,remember.01,performance,,
"pear_story.61
"," . . gets off the bicycle ,
","(s61g / get-05
        :ARG1 (s61p / person)
        :source (s61b / bicycle
                :refer-number singular)
        :direction (s61o / off-07)
        :aspect blank)
",s61g,get.05,performance,,
"pear_story.62
"," I think he he picks up the b—asket of pears ,
","(s62t / think-01
  :ARG0 (s62p4 / person
        :refer-person 1st
        :refer-number singular)
  :ARG1 (s62p / pick-up-04
        :ARG0 (s62p2 / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s62p3 / pear
                :unit (s62b / basket)
                :quant 1)
        :aspect performance
        :modal-predicate s62t)
  :aspect blank)
",s62t,think.01,state,,
"pear_story.62
"," I think he he picks up the b—asket of pears ,
","(s62t / think-01
  :ARG0 (s62p4 / person
        :refer-person 1st
        :refer-number singular)
  :ARG1 (s62p / pick-up-04
        :ARG0 (s62p2 / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s62p3 / pear
                :unit (s62b / basket)
                :quant 1)
        :aspect performance
        :modal-predicate s62t)
  :aspect blank)
",s62p,pick-up.04,performance,,
"pear_story.63
"," and he puts it on his bicycle ,
","(s63p / put-01
        :ARG0 (s63p2 / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s63t / thing
                :refer-person 3rd
                :refer-number singular)
        :ARG2 (s63b / bicycle
                :refer-number singular
                :possessor s63p2)
        :aspect blank)
",s63p,put.01,performance,,
"pear_story.65
"," And he rides off .
","(s65r / ride-01
        :ARG0 (s65p / person
                :refer-person 3rd
                :refer-number singular)
        :direction (s65o / off-06)
        :aspect blank)
",s65r,ride.01,endeavor,,
"pear_story.66
"," A--nd you see him ,
","(s66s / see-01
        :ARG0 (s66p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s66e / event
                :actor (s66p2 / person
                        :refer-person 3rd
                        :refer-number singular))
        :aspect blank)
",s66s,see.01,state,,
"pear_story.67
"," riding off and the next scene you see him ,
","(s67a / and
  :op1 (s67r / ride-01
        :ARG0 s67p
        :direction (s67o / off-06)
        :aspect blank)
  :op2 (s67s / see-01
        :ARG0 (s67p2 / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s67p / person
                :refer-person 3rd
                :refer-number singular)
        :temporal (s67s2 / scene
                :mod (s67n / next))
        :aspect blank))
",s67r,ride.01,activity,,
"pear_story.67
"," riding off and the next scene you see him ,
","(s67a / and
  :op1 (s67r / ride-01
        :ARG0 s67p
        :direction (s67o / off-06)
        :aspect blank)
  :op2 (s67s / see-01
        :ARG0 (s67p2 / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s67p / person
                :refer-person 3rd
                :refer-number singular)
        :temporal (s67s2 / scene
                :mod (s67n / next))
        :aspect blank))
",s67s,see.01,state,,
"pear_story.68
"," like at a at a distance ,
","(s68h / have-manner-91
        :ARG1 (s68e / event)
        :ARG2 (s68d / distant-01
                :ARG1 (s68p / person)
                :ARG2 (s68p2 / person)
                :aspect blank))
",s68h,have-manner.91,state,,
"pear_story.70
"," And he's riding on a lane ,
","(s70r / ride-01
  :ARG0 (s70p / person
          :refer-person 3rd
          :refer-number singular)
  :path (s70l / lane
          :refer-number singular)
  :aspect blank)
",s70r,ride.01,activity,,
"pear_story.71
"," riding on a bicycle and they cro you know .
","(s71a / and
  :op1 (s71r / ride-01
         :ARG0 (s71p / person)
         :ARG1 (s71b / bicycle
                :refer-number singular)
         :aspect blank)
  :op2 (s71c / cross-01
         :ARG0 (s71p3 / person
                :refer-person 3rd
                :refer-number plural)
         :aspect blank))
",s71r,ride.01,activity,,
"pear_story.71
"," riding on a bicycle and they cro you know .
","(s71a / and
  :op1 (s71r / ride-01
         :ARG0 (s71p / person)
         :ARG1 (s71b / bicycle
                :refer-number singular)
         :aspect blank)
  :op2 (s71c / cross-01
         :ARG0 (s71p3 / person
                :refer-person 3rd
                :refer-number plural)
         :aspect blank))
",s71c,cross.01,performance,,
